id,title,institute,link,email,deadline,skills,date_added
62,Institute Brochure,NITK,https://www.nitk.ac.in/document/attachments/5132/Brochure_Dec_2022.pdf,Check PDF,Not Specified,"machine learning, ai, chemistry, physics, electronics, data science",2025-12-29
63,Building and Works Committee,NITK,https://www.nitk.ac.in/document/attachments/7546/NITK_B_WC_Members_as_on_date_%2801.10.2024%29.pdf,Check PDF,23-04-2009,ai,2025-12-29
64,The Senate,NITK,https://www.nitk.ac.in/document/attachments/8495/Senate_Members_as_on_date_%28June__2025%29.pdf,Check PDF,Not Specified,ai,2025-12-29
65,Investment Policy,NITK,https://www.nitk.ac.in/document/attachments/3548/img20220202_17092847.pdf,Check PDF,Not Specified,,2025-12-29
66,Purchase Policy,NITK,https://www.nitk.ac.in/document/attachments/3549/GFR2017.pdf,Check PDF,25.05.2006,ai,2025-12-29
67,IPR,NITK,https://www.nitk.ac.in/design-system/administration/Institute-IPR-Policy.pdf,Check PDF,Not Specified,,2025-12-29
68,IT policy,NITK,https://www.nitk.ac.in/design-system/Docs/IT-Policy/nitk-it-policy-approved-25feb15.pdf,Check PDF,Not Specified,ai,2025-12-29
69,Technologies for Transfer,NITK,https://www.nitk.ac.in/document/attachments/8677/Patent_Details-_June_2025.pdf,dean.rc@nitk.edu.in,29-12-2020,"ai, electronics",2025-12-29
70,Advertisement for the post of JRF in Civil Engineering (Extension of deadline),NITK,https://www.nitk.ac.in/document/attachments/9200/JRF-Civil-Dept-Website_Form-JRF_Ad_-_Extension.pdf,pavan.gs@nitk.edu.in,12/12/2025,ai,2025-12-29
71,Advertisement for JRF in Civil Engineering department,NITK,https://www.nitk.ac.in/document/attachments/9149/JRF-Civil-Dept-Website_Form-JRF_Ad.pdf,pavan.gs@nitk.edu.in,27/12/2025,ai,2025-12-29
72,Advertisement for the post of JRF in Electrifying Milk Industry,NITK,https://www.nitk.ac.in/document/attachments/9089/E-KMI_Advertisement_2025.pdf,csd@nitk.edu.in,13-11-2025,"ai, physics",2025-12-29
73,"Advertisement for the post of JRF, Outreach Manager in Virtual Lab Phase III Project",NITK,https://www.nitk.ac.in/document/attachments/9090/2025_Virtual_Lab_Advertisement_III_%281%29.docx_-_Google_Docs.pdf,csd@nitk.edu.in,13-11-2025,"python, ai, chemistry, physics, electronics",2025-12-29
74,Advertisement for the position of Project assistants in the Department of Civil Engineering,NITK,https://www.nitk.ac.in/document/attachments/9042/cKrishna_Project_Assistant_Advirtsiement_-October-2025.pdf,ckrishna.nitk@nitk.edu.in,07/10/2025,ai,2025-12-29
75,Advertisement for JRF/Project Assistant,NITK,https://www.nitk.ac.in/document/attachments/9033/Advertisement_for_Junior_Research_fellow_in_ISRO_project.pdf,Check PDF,22-10-2025,electronics,2025-12-29
76,Advertisement for JRF in the Mechanical Engineering Department,NITK,https://www.nitk.ac.in/document/attachments/8998/JRF-Advt-SERB-CRG-SB-ASSB.pdf,srikanth.bontha@nitk.edu.in,13/06/2023,ai,2025-12-29
77,Advertisement for the post of Project Assistant in ANRF Project,NITK,https://www.nitk.ac.in/document/attachments/9000/Advertisement_for_ANRF_Project_Reg._.pdf,csd-office@nitk.edu.in,17-10-2025,"ai, physics, electronics, matlab, embedded",2025-12-29
78,Advertisement for JRF,NITK,https://www.nitk.ac.in/document/attachments/8921/1_JRF-Advertisment_DoT-September-2025.pdf,prabuk@nitk.edu.in,26/09/2025,"python, ai, electronics",2025-12-29
79,Advertisement for Research Associate,NITK,https://www.nitk.ac.in/document/attachments/8922/2_RA-Advertisment_DoT-September-2025.pdf,prabuk@nitk.edu.in,26/09/2025,"python, machine learning, ai, electronics",2025-12-29
80,Advertisement for Project Assistant,NITK,https://www.nitk.ac.in/document/attachments/8817/Project_Assistant-_Advertisment.pdf,srikanth.bontha@nitk.edu.in,Not Specified,ai,2025-12-29
81,Application Form,NITK,https://www.nitk.ac.in/document/attachments/8818/Application_for_Prject_Assistant.pdf,Check PDF,Not Specified,ai,2025-12-29
82,Advertisement for JRF in ECE department (Date extended till 25-8-2025),NITK,https://www.nitk.ac.in/document/attachments/8779/Advt_extention.pdf,deepuv@nitk.edu.in,31.07.2025,"python, machine learning, ai, electronics",2025-12-29
83,Advertisement for Junior Research Fellow (JRF) & Senior Research Fellow (SRF) in CSE department,NITK,https://www.nitk.ac.in/document/attachments/8754/Advt-MeitY_MobSec-Project_staff-Santhi.pdf,mobileapisec.nitk@gmail.com,30/07/2025,"ai, electronics",2025-12-29
84,Advertisement for the post of Project Staff,NITK,https://www.nitk.ac.in/document/attachments/8683/JPA_-_Adv.pdf,mandeep.singh@nitk.edu.in,22/07/2025,"ai, physics, electronics",2025-12-29
85,Advertisement,NITK,https://www.nitk.ac.in/document/attachments/8674/JRF_Advertisment_SERB-CRG_-21-07-2025.pdf,ranjeetsahu.j@nitk.edu.in,21-07-2025,"ai, electronics, matlab",2025-12-29
86,Application Form,NITK,https://www.nitk.ac.in/document/attachments/8675/JRF_-_Application_Form.pdf,Check PDF,Not Specified,ai,2025-12-29
